node_id,n_samples,dominant_disease,purity,feature_1,feature_1_cohens_d,feature_2,feature_2_cohens_d,feature_3,feature_3_cohens_d,feature_4,feature_4_cohens_d,feature_5,feature_5_cohens_d,bit_1,bit_1_diff,bit_2,bit_2_diff,bit_3,bit_3_diff,bit_4,bit_4_diff,bit_5,bit_5_diff
cube50_cluster0,17,Huntington's,0.2941,Volume3D,-1.6542,ic50,1.6489,FeatureRingCount3D,-1.648,Max. tolerated dose (human),1.6081,ki,1.6018,Bit_12,-0.9109,Bit_583,-0.8874,Bit_417,-0.8319,Bit_680,-0.8286,Bit_442,-0.8252
cube28_cluster0,17,Alzheimer's,0.2941,CYP1A2 inhibitor,0.8875,CYP2D6 substrate,0.796,Skin Permeability,-0.7597,Leadlikeness #violations,-0.7433,VDss (human),0.7115,Bit_373,0.763,Bit_531,0.7597,Bit_436,0.7563,Bit_577,0.7546,Bit_446,0.7513
cube37_cluster0,24,Huntington's,0.2917,CYP1A2 inhibitor,1.4226,EffectiveRotorCount3D,-1.1611,Fraction Csp3,-1.0812,FeatureAcceptorCount3D,-0.9665,BBB permeability,0.8202,Bit_586,0.6504,Bit_658,0.6504,Bit_496,0.6403,Bit_666,0.637,Bit_438,0.6286
cube33_cluster0,14,Alzheimer's,0.2857,CYP2D6 inhibitor,1.2494,Pgp substrate,1.2107,VDss (human),1.1365,Leadlikeness #violations,-1.136,ec50,-1.1336,Bit_756,0.7672,Bit_715,0.7588,Bit_798,0.7403,Bit_736,0.7134,Bit_819,0.7134
cube14_cluster0,14,Alzheimer's,0.2857,Total Clearance,1.88,Water solubility,-1.6019,EffectiveRotorCount3D,1.5456,ConformerModelRmSD3D,1.4081,#Rotatable bonds,1.3883,Bit_15,-0.8218,Bit_286,-0.8185,Bit_352,-0.8084,Bit_256,-0.7513,Bit_356,-0.7429
cube62_cluster0,7,Parkinson's,0.2857,CYP2C9 inhibitor,1.8988,YStericQuadrupole3D,1.7483,CYP1A2 inhibitor,1.7063,P-glycoprotein II inhibitor,1.5298,P-glycoprotein I inhibitor,1.389,Bit_617,0.9613,Bit_423,0.9479,Bit_478,0.9479,Bit_645,0.9345,Bit_468,0.9328
cube24_cluster0,14,Alzheimer's,0.2857,FeatureHydrophobeCount3D,3.1427,log Kp (cm/s),1.7607,XLOGP3,1.7468,Ali Class,-1.7299,Silicos-IT Log P,1.5761,Bit_757,0.842,Bit_820,0.8202,Bit_668,0.7437,Bit_15,-0.679,Bit_286,-0.6756
cube46_cluster0,21,Alzheimer's,0.2857,T.Pyriformis toxicity,0.905,#H-bond acceptors,-0.8375,Leadlikeness #violations,-0.7969,Oral Rat Chronic Toxicity (LOAEL),-0.7884,HBondAcceptorCount,-0.7523,Bit_638,-0.5126,Bit_681,-0.479,Bit_699,-0.428,Bit_690,-0.4151,Bit_406,-0.4112
cube40_cluster0,14,Alzheimer's,0.2857,MLOGP,-2.0822,Silicos-IT Log P,-1.9367,Consensus Log P,-1.8902,ESOL Solubility (mol/l),1.8457,Ali Solubility (mol/l),1.7836,Bit_583,-0.816,Bit_680,-0.7571,Bit_180,-0.7429,Bit_641,-0.7202,Bit_709,-0.6983
cube56_cluster0,14,Multiple Sclerosis,0.2857,Skin Sensitisation,1.5235,CYP3A4 substrate,-1.1568,P-glycoprotein substrate,-1.1256,BBB permeant,1.0851,Silicos-IT class,1.0078,Bit_13,-0.5882,Bit_342,-0.5218,Bit_367,-0.4891,Bit_16,-0.463,Bit_258,-0.4571
cube44_cluster0,22,Multiple Sclerosis,0.2727,XStericQuadrupole3D,0.7994,CYP2D6 substrate,0.6823,FeatureHydrophobeCount3D,-0.5438,Silicos-IT class,-0.5407,Silicos-IT Log P,0.5339,Bit_450,-0.4134,Bit_187,0.4098,Bit_377,-0.3966,Bit_575,0.3947,Bit_549,0.3896
cube35_cluster0,22,Alzheimer's,0.2727,EffectiveRotorCount3D,1.3145,XStericQuadrupole3D,1.2942,ConformerModelRmSD3D,1.1421,CYP2D6 inhibitor,1.0617,CYP3A4 inhibitor,1.0509,Bit_566,0.6621,Bit_590,0.6621,Bit_627,0.6621,Bit_477,0.6503,Bit_605,0.6386
cube39_cluster0,11,Spinal Muscular Atrophy,0.2727,Skin Permeability,-1.6867,Fraction unbound (human),1.4076,Water solubility,1.2177,ki,1.2137,CYP3A4 substrate,-1.154,Bit_446,0.8101,Bit_689,-0.7513,Bit_180,-0.7429,Bit_711,-0.7395,Bit_680,-0.7377
cube55_cluster0,23,Alzheimer's,0.2609,Skin Sensitisation,1.3443,CYP3A4 substrate,-0.9804,HBondAcceptorCount,-0.9051,Synthetic Accessibility,-0.8854,#H-bond acceptors,-0.8716,Bit_13,-0.5448,Bit_638,-0.525,Bit_681,-0.4914,Bit_529,0.4837,Bit_608,0.4571
cube15_cluster0,13,Alzheimer's,0.2308,XLOGP3,2.831,Minnow toxicity,-2.3726,log Kp (cm/s),2.35,Consensus Log P,2.3046,Ghose #violations,2.2797,Bit_4,0.8655,Bit_15,-0.668,Bit_286,-0.6646,Bit_352,-0.6546,Bit_252,0.6133
cube41_cluster0,13,Alzheimer's,0.2308,ESOL Solubility (mol/l),3.2378,Silicos-IT Solubility (mol/l),3.0632,Ali Solubility (mol/l),2.4564,ESOL Class,2.0474,Intestinal absorption (human),-2.0126,Bit_12,-0.9109,Bit_442,-0.8252,Bit_525,-0.805,Bit_491,-0.8017,Bit_557,-0.8017
cube57_cluster0,14,Alzheimer's,0.2143,Fraction Csp3,1.7749,Oral Rat Acute Toxicity (LD50),-1.7084,iLOGP,-1.5138,#Aromatic heavy atoms,-1.2876,FeatureAnionCount3D,1.2527,Bit_417,-0.8319,Bit_442,-0.8252,Bit_525,-0.805,Bit_447,-0.8017,Bit_491,-0.8017
cube12_cluster0,15,Alzheimer's,0.2,#H-bond donors,2.7242,FeatureDonorCount3D,2.7237,HBondDonorCount,2.3306,HBondAcceptorCount,2.2681,#H-bond acceptors,2.1905,Bit_687,0.9311,Bit_591,0.8723,Bit_576,0.8594,Bit_694,0.8594,Bit_757,0.842
